"TICKET","TRANSACTION DATE","TRANSACTION TYPE","DETAILS","INSTRUMENT","PRICE","UNITS","DIRECTION","SPREAD COST","STOP LOSS","GUARANTEED STOP LOSS","TAKE PROFIT","TRAILING STOP","FINANCING","COMMISSION","GSL FEE","GSL PREMIUM","CONVERSION RATE","PL","AMOUNT","BALANCE"
"60090","2025-09-24 17:42:02 -12","MARKET_IF_TOUCHED_ORDER","CLIENT_ORDER","EUR/USD","1.17748","1000.00","Buy","","1.17720","","1.17767","","","","","","","","",""
"60091","2025-09-24 17:42:03 -12","MARKET_IF_TOUCHED_ORDER","CLIENT_ORDER","EUR/USD","1.17240","1000.00","Sell","","1.17268","","1.17221","","","","","","","","",""
"60092","2025-09-24 17:42:54 -12","ORDER_FILL","MARKET_IF_TOUCHED_ORDER","EUR/USD","1.17429","1000.00","Sell","0.0709","","","","","0.00000","0.0000","0.0000","","","0.00000","","98977.42"
"60093","2025-09-24 17:42:54 -12","TAKE_PROFIT_ORDER","ON_FILL","","1.17421","","","","","","","","","","","","","","",""
"60094","2025-09-24 17:42:54 -12","STOP_LOSS_ORDER","ON_FILL","","1.17468","","","","","","","","","","","","","","",""
"60095","2025-09-24 17:44:03 -12","ORDER_CANCEL","CLIENT_REQUEST","","","","","","","","","","","","","","","","",""
"60096","2025-09-24 17:44:03 -12","ORDER_CANCEL","CLIENT_REQUEST","","","","","","","","","","","","","","","","",""
"60097","2025-09-24 17:44:04 -12","ORDER_CANCEL","CLIENT_REQUEST","","","","","","","","","","","","","","","","",""
"60098","2025-09-24 17:44:04 -12","ORDER_CANCEL","CLIENT_REQUEST","","","","","","","","","","","","","","","","",""
"60099","2025-09-24 17:44:04 -12","ORDER_CANCEL","CLIENT_REQUEST","","","","","","","","","","","","","","","","",""
"60100","2025-09-24 17:44:05 -12","ORDER_CANCEL","CLIENT_REQUEST","","","","","","","","","","","","","","","","",""
"60101","2025-09-24 17:44:05 -12","ORDER_CANCEL","CLIENT_REQUEST","","","","","","","","","","","","","","","","",""
"60102","2025-09-24 17:44:05 -12","ORDER_CANCEL","CLIENT_REQUEST","","","","","","","","","","","","","","","","",""
