ID,Type,Instrument,Units,Price,Time,pl
18454,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:37:17.456113583Z,
18455,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:37:20.127030170Z,
18456,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:37:22.002183064Z,
18457,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:37:24.563455261Z,
18458,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:37:26.578558588Z,
18459,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:37:29.213209945Z,
18460,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:37:31.203936164Z,
18461,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:37:33.037823326Z,
18462,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:37:34.868315374Z,
18463,ORDER_FILL,EUR_USD,-1000,1.17868,2025-09-24T06:37:35.811295558Z,0.0000
18464,TAKE_PROFIT_ORDER,N/A,N/A,1.17859,2025-09-24T06:37:35.811295558Z,
18465,STOP_LOSS_ORDER,N/A,N/A,1.17899,2025-09-24T06:37:35.811295558Z,
18466,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17799,2025-09-24T06:37:37.370370617Z,
18467,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17819,2025-09-24T06:37:37.762276272Z,
18468,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17839,2025-09-24T06:37:38.147986557Z,
18469,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17819,2025-09-24T06:37:40.119131998Z,
18470,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17839,2025-09-24T06:37:40.510577696Z,
18471,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17819,2025-09-24T06:37:43.032587300Z,
18472,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17839,2025-09-24T06:37:43.425711260Z,
18473,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17819,2025-09-24T06:37:45.288009940Z,
18474,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17839,2025-09-24T06:37:45.674095144Z,
18475,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17819,2025-09-24T06:37:48.187299586Z,
18476,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17839,2025-09-24T06:37:48.564301486Z,
18477,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17819,2025-09-24T06:37:50.523303623Z,
18478,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17839,2025-09-24T06:37:50.929414202Z,
18479,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:37:53.513070822Z,
18480,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:37:56.007389278Z,
18481,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:37:58.569938376Z,
18482,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:38:00.624487454Z,
18483,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:38:03.187914270Z,
18484,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:38:05.670590984Z,
18485,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:38:07.702686034Z,
18486,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:38:10.299271160Z,
18487,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:38:12.879538499Z,
18488,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:38:14.862666095Z,
18489,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:38:16.881767745Z,
18490,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:38:18.965004338Z,
18491,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:38:20.834306626Z,
18492,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:38:22.920310021Z,
18493,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:38:25.478163431Z,
18494,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:38:28.123736724Z,
18495,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:38:30.076161026Z,
18496,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:38:32.785475152Z,
18497,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:38:34.758477851Z,
18498,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:38:36.769622572Z,
18499,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:38:39.307532346Z,
18500,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:38:41.377322110Z,
18501,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:38:43.328833218Z,
18502,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:38:45.329534241Z,
18503,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:38:47.926413207Z,
