"TICKET","TRANSACTION DATE","TRANSACTION TYPE","DETAILS","INSTRUMENT","PRICE","UNITS","DIRECTION","SPREAD COST","STOP LOSS","GUARANTEED STOP LOSS","TAKE PROFIT","TRAILING STOP","FINANCING","COMMISSION","GSL FEE","GSL PREMIUM","CONVERSION RATE","PL","AMOUNT","BALANCE"
"54816","2025-09-23 23:18:31 -12","MARKET_IF_TOUCHED_ORDER_REJECT","CLIENT_ORDER","EUR/USD","1.08379","1000.00","","","1.08399","","1.08359","","","","","","","","",""
"54817","2025-09-23 23:18:31 -12","MARKET_IF_TOUCHED_ORDER_REJECT","CLIENT_ORDER","EUR/USD","1.08399","1000.00","","","1.08419","","1.08379","","","","","","","","",""
"54818","2025-09-23 23:18:31 -12","MARKET_IF_TOUCHED_ORDER_REJECT","CLIENT_ORDER","EUR/USD","1.08419","1000.00","","","1.08439","","1.08399","","","","","","","","",""
"54819","2025-09-23 23:18:32 -12","MARKET_IF_TOUCHED_ORDER_REJECT","CLIENT_ORDER","EUR/USD","1.08439","1000.00","","","1.08459","","1.08419","","","","","","","","",""
"54820","2025-09-23 23:18:32 -12","MARKET_IF_TOUCHED_ORDER_REJECT","CLIENT_ORDER","EUR/USD","1.08459","1000.00","","","1.08479","","1.08439","","","","","","","","",""
"54821","2025-09-23 23:18:32 -12","MARKET_IF_TOUCHED_ORDER_REJECT","CLIENT_ORDER","EUR/USD","1.08479","1000.00","","","1.08499","","1.08459","","","","","","","","",""
"54822","2025-09-23 23:18:33 -12","MARKET_IF_TOUCHED_ORDER_REJECT","CLIENT_ORDER","EUR/USD","1.08499","1000.00","","","1.08519","","1.08479","","","","","","","","",""
"54823","2025-09-23 23:18:33 -12","MARKET_IF_TOUCHED_ORDER_REJECT","CLIENT_ORDER","EUR/USD","1.08519","1000.00","","","1.08539","","1.08499","","","","","","","","",""
"54824","2025-09-23 23:18:34 -12","MARKET_IF_TOUCHED_ORDER_REJECT","CLIENT_ORDER","EUR/USD","1.08539","1000.00","","","1.08559","","1.08519","","","","","","","","",""
"54825","2025-09-23 23:18:34 -12","MARKET_IF_TOUCHED_ORDER_REJECT","CLIENT_ORDER","EUR/USD","1.08559","1000.00","","","1.08579","","1.08539","","","","","","","","",""
"54826","2025-09-23 23:18:34 -12","MARKET_IF_TOUCHED_ORDER_REJECT","CLIENT_ORDER","EUR/USD","1.08579","1000.00","","","1.08599","","1.08559","","","","","","","","",""
"54827","2025-09-23 23:18:35 -12","MARKET_IF_TOUCHED_ORDER_REJECT","CLIENT_ORDER","EUR/USD","1.08599","1000.00","","","1.08619","","1.08579","","","","","","","","",""
"54828","2025-09-23 23:18:35 -12","MARKET_IF_TOUCHED_ORDER_REJECT","CLIENT_ORDER","EUR/USD","1.08619","1000.00","","","1.08639","","1.08599","","","","","","","","",""
"54829","2025-09-23 23:18:35 -12","MARKET_IF_TOUCHED_ORDER_REJECT","CLIENT_ORDER","EUR/USD","1.08639","1000.00","","","1.08659","","1.08619","","","","","","","","",""
